一级分类,二级分类,原始链接名称,原始链接URL,状态,RSS/候选名称,RSS/候选URL,备注,来源信息分类,是否模型相关,是否推理加速相关,是否智能体系统相关,是否AI应用相关,是否设备供应商相关,是否通信服务提供商相关,是否云基础设施相关,是否硬件（芯片和硬件热点新闻）相关,是否基础竞争力相关,Folo复核状态,Folo复核标题,Folo复核RSS,Folo复核站点,Folo复核条目数,Folo复核备注,Folo复核时间,FoloCLI补充状态,FoloCLI补充标题,FoloCLI补充RSS,FoloCLI补充条目数,FoloCLI补充备注
v5.0 配置补充（新增 URL）,媒体 / 中文科技 / 商业,AI Base 新闻,https://news.aibase.com/zh/news,未确认,AI新闻资讯,rsshub://aibase/news,AI 新闻页,行业新闻,强相关,不涉及,弱相关,强相关,不涉及,不涉及,不涉及,不涉及,不涉及,未确认,,,,0,No usable RSS feed confirmed by Folo in this pass.,2026-04-26T01:38:51,discover_only,AI新闻资讯,rsshub://aibase/news,,Folo discover 命中候选；当前 feed get 未直接解析 route。
AI / 科技媒体,,MIT AI Topic,https://news.mit.edu/topic/artificial-intelligence2,已确认,MIT AI RSS,https://news.mit.edu/rss/topic/artificial-intelligence2,主题文章流,行业新闻,强相关,不涉及,弱相关,弱相关,不涉及,不涉及,不涉及,不涉及,不涉及,,,,,,,,,,,,
芯片 / 硬件,,Samsung Semiconductor News,https://news.samsung.com/global/semiconductor,已确认,Samsung Semiconductor Feed,https://news.samsung.com/global/category/semiconductor/feed,官方分类文章流,设备供应商动态,不涉及,强相关,不涉及,不涉及,不涉及,不涉及,不涉及,强相关,不涉及,,,,,,,,,,,,
芯片 / 硬件,,SK hynix News,https://news.skhynix.com/,已确认,SK hynix Feed,https://news.skhynix.com/feed/,官方新闻,设备供应商动态,不涉及,强相关,不涉及,不涉及,不涉及,不涉及,不涉及,强相关,不涉及,,,,,,,,,,,,
AI / 科技媒体,,Hacker News,https://news.ycombinator.com,已确认,HN RSS,https://news.ycombinator.com/rss,官方 RSS,行业新闻,弱相关,不涉及,弱相关,不涉及,不涉及,不涉及,不涉及,不涉及,弱相关,,,,,,,,,,,,
企业 / 云,,Cisco Newsroom,https://newsroom.cisco.com/,未确认,Cisco Blogs,https://blogs.cisco.com/feed,暂未找到稳定文章 RSS,设备供应商动态,不涉及,不涉及,不涉及,不涉及,强相关,不涉及,不涉及,弱相关,不涉及,未确认,,,,0,No usable RSS feed confirmed by Folo in this pass.,2026-04-26T09:41:42,verified,Cisco Blogs,https://blogs.cisco.com/feed,4,官方替代源：Cisco Blogs 总 feed。
企业 / 云,,IBM Newsroom,https://newsroom.ibm.com/,已确认,IBM Announcements RSS,https://newsroom.ibm.com/announcements?pagetemplate=rss,官方新闻,云厂商,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,强相关,不涉及,弱相关,,,,,,,,,,,,
v5.0 配置补充（新增 URL）,芯片 / 硬件 / 可穿戴,Intel Newsroom,https://newsroom.intel.com/,未确认,Newsroom,https://newsroom.intel.com/feed,新闻主页,设备供应商动态,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,强相关,不涉及,已确认,Newsroom,https://newsroom.intel.com/feed,https://newsroom.intel.com/,4,Confirmed by Folo feeds lookup.,2026-04-26T01:44:13,,,,,
芯片 / 硬件,,NVIDIA Newsroom,https://nvidianews.nvidia.com,已确认（替代）,NVIDIA Blog Feed,https://blogs.nvidia.com/feed/,官方博客流，不是 newsroom 原生 feed,设备供应商动态,不涉及,强相关,不涉及,不涉及,不涉及,不涉及,不涉及,强相关,不涉及,,,,,,,,,,,,
v5.0 配置补充（新增 URL）,芯片 / 硬件 / 可穿戴,NVIDIA Newsroom - latest,https://nvidianews.nvidia.com/news/latest,已确认（替代）,NVIDIA Blog Feed,https://blogs.nvidia.com/feed/,已确认可用的是 NVIDIA 博客 feed,设备供应商动态,不涉及,强相关,不涉及,不涉及,不涉及,不涉及,不涉及,强相关,不涉及,,,,,,,,,,,,
AI / 科技媒体,,OpenAI Index,https://openai.com/index/,已确认,OpenAI News RSS,https://openai.com/news/rss.xml,官方新闻,技术博客,强相关,不涉及,弱相关,弱相关,不涉及,不涉及,不涉及,不涉及,弱相关,,,,,,,,,,,,
v5.0 配置补充（新增 URL）,学术 / 研究 / 论文补充,OpenAI - research / release,https://openai.com/research/index/release,未确认,OpenAI News,https://openai.com/news/rss.xml,研究发布索引页,学术论文,强相关,弱相关,弱相关,弱相关,不涉及,不涉及,不涉及,不涉及,弱相关,未确认,,,,0,No usable RSS feed confirmed by Folo in this pass.,2026-04-26T09:56:55,verified,OpenAI News,https://openai.com/news/rss.xml,4,官方替代源：OpenAI News feed。
v5.0 配置补充（新增 URL）,学术 / 研究 / 论文补充,OpenAI - zh-Hans-CN / research,https://openai.com/zh-Hans-CN/research/index/publication,未确认,OpenAI News,https://openai.com/news/rss.xml,中文研究发布页,学术论文,不涉及,不涉及,弱相关,弱相关,不涉及,不涉及,不涉及,不涉及,不涉及,未确认,,,,0,No usable RSS feed confirmed by Folo in this pass.,2026-04-26T01:45:26,verified,OpenAI News,https://openai.com/news/rss.xml,4,官方替代源：OpenAI News feed。
v5.0 配置补充（新增 URL）,AI / Agent / 官方博客,OpenClaw Blog,https://openclaw.ai/blog,未确认,OpenClaw Blog,https://openclaw.ai/rss.xml,官方博客,技术博客,不涉及,不涉及,强相关,强相关,不涉及,不涉及,不涉及,不涉及,强相关,已确认,OpenClaw Blog,https://openclaw.ai/rss.xml,https://openclaw.ai/,2,Confirmed by Folo feeds lookup.,2026-04-26T01:36:33,,,,,
开源 / 平台,,Open Source Initiative,https://opensource.org,已确认,OSI Feed,https://opensource.org/feed,官方文章流,开源动态,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,弱相关,不涉及,强相关,,,,,,,,,,,,
开源 / 平台,,PyPI,https://pypi.org,非文章页,,,仅确认到包更新流，不是文章流,开源动态,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,强相关,,,,,,,,,,,,
v5.0 配置补充（新增 URL）,学术 / 研究 / 论文补充,research.google - blog,https://research.google/blog,未确认,The latest research from Google,https://research.google/blog/rss/,Google Research 博客,学术论文,强相关,弱相关,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,强相关,已确认,The latest research from Google,https://research.google/blog/rss/,https://research.google/blog/,4,Confirmed by Folo feeds lookup.,2026-04-26T09:53:50,,,,,
v5.0 配置补充（新增 URL）,学术 / 研究 / 论文补充,IBM Research - AI,https://research.ibm.com/blog?topics=artificial-intelligence,未确认,IBM Research,https://research.ibm.com/rss,研究博客专题页,学术论文,强相关,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,已确认,IBM Research,https://research.ibm.com/rss,https://research.ibm.com/,4,Confirmed by Folo feeds lookup.,2026-04-26T01:44:47,,,,,
v5.0 配置补充（新增 URL）,云 / 基础设施 / 安全,阿里云资源库,https://resource.alibabacloud.com/whitepaper,非文章页,,,白皮书或资源库，不是文章 RSS 页,云厂商,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,强相关,弱相关,弱相关,,,,,,,,,,,,
v5.0 配置补充（新增 URL）,学术 / 研究 / 论文补充,seed.bytedance.com - zh / blog,https://seed.bytedance.com/zh/blog?order_desc=true&offset=12,未确认,,,字节研究博客,学术论文,强相关,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,不涉及,未确认,,,,0,No usable RSS feed confirmed by Folo in this pass.,2026-04-26T01:45:17,,,,,
v5.0 配置补充（新增 URL）,芯片 / 硬件 / 可穿戴,SemiAnalysis,https://semianalysis.com/,未确认,SemiAnalysis,https://semianalysis.com/feed/,半导体深度媒体主页,行业新闻,不涉及,强相关,不涉及,不涉及,不涉及,不涉及,不涉及,强相关,不涉及,已确认,SemiAnalysis,https://semianalysis.com/feed/,https://semianalysis.com/,4,Confirmed by Folo feeds lookup.,2026-04-26T09:52:38,,,,,
